HJD (days),Radial Velocity (m/s),Radial Velocity Uncertainty (m/s)
0.13425590714069013,-18.47230117222879,6.892368495307384
1.2584736307799604,-3.649633959897265,6.229235191860662
2.642060323453921,3.8871577205478074,5.3407458775777865
3.9602746658553736,18.174672752259788,5.277443985168732
7.526448484287535,48.64025538891291,5.294295378333189
11.297638200195358,42.09485317116621,5.493004811993347
15.003163840395,-23.260725663223738,5.548500151526982
16.08587331374568,-32.388489262934144,5.749113751934613
18.028282055399618,-29.497303464230097,5.681526304304875
18.695431649049578,-22.9217607566413,6.46045394045065
20.346641431115337,-16.121190830439563,5.111998242277317
23.365172185289435,-13.116646460491513,6.551639678573767
31.069112340176996,54.687777010627556,6.347431056983989
34.700127474629745,-10.801827408927792,5.6155066182828755
35.01428477540381,-14.352599276116702,5.321435717110981
38.67147661106564,-35.69423407098786,5.339756529742246
42.94442994349225,-9.24724935407523,6.958614177997499
43.867994225603525,-3.82971429774528,4.931139640137595
44.088575385357686,-6.24950762312331,6.570362468418981
46.66576452820259,11.267702020776644,6.027020148943121
48.50688850838756,27.389917042474398,6.058847691906173
49.30457479012019,53.703738169344206,7.076283557219909
49.97957289348072,51.37350574181181,6.063266606029399
51.180583238659146,55.28943911580611,5.715752258184078
53.668371855435666,32.84447905871344,7.025199276631955
53.93639422455306,42.546068545398334,6.94303755218387
54.430374418023035,19.224780525824634,6.4424628790262215
57.478253592596225,-41.92804682813365,6.820276232472072
59.675950087307065,-25.493184532559695,4.820531086369413
59.75793618806273,-40.85905914030963,6.988944809228145
62.9949222131857,-14.570799776890901,6.384415175034889
68.49826577592601,15.138181300876571,5.181833297540104
68.7543438033704,21.030557112220002,5.604055554587988
70.52365334816751,32.98874589603038,5.233445565197452
71.61545373653155,40.45887293581622,5.026244429456453
75.74740882379218,18.42494477400545,4.904299924139399
77.50566427138584,-19.91003956265672,6.815390964695461
79.69864851320294,-31.02341104867253,5.691964213700877
80.03143555168617,-40.72080915067427,5.525723939568636
84.59967092815103,-15.488396679624763,6.2225360085618995
86.05026897608404,-2.084486531663676,4.990804469454581
86.5059001040357,-3.492577874079081,6.8115072403940395
87.46094252674524,4.448532670694691,5.41626462001895
88.43463640028882,16.911100799701437,6.363401012491598
89.50552068918307,18.56211569690673,6.466921781080199
89.86335208387844,17.70808958536075,7.147695217528327
94.03679183827468,53.57600479945593,6.448805870051972
94.21158527182293,61.05376412185646,6.444072920369498
95.41905825412033,51.31911600441564,5.612284102395657
95.59427684785473,43.63134451019093,5.162175050932608
101.5005081822182,-32.29439385710962,6.983772769542375
101.78293434935301,-26.649225462730712,7.019520857798879
103.56979621433871,-39.372866155476174,6.549668171136313
112.70297826303833,30.960169762365197,7.044829364792264
114.53402791876354,45.2776857300467,5.603898503188087
114.71053588905079,46.74852520592593,5.38817221885993
117.94260171744375,26.57743357097643,6.562899043329556
121.34641582142918,-34.1314907166099,5.835873728422035
122.66073303589299,-32.04536319520566,5.9021880630527725
126.02843545159251,-25.83601598848309,6.9015656809265815
126.33547055431299,-16.252817541165882,6.141271402348337
126.44195909109364,-13.904537426425541,5.050846835990019
126.70422133918723,-16.984290412178964,6.606320099425989
128.1296112994054,-12.977796369959027,7.091498171322608
130.44717786158674,3.6219007976134856,5.337135194570755
132.28104263480063,22.20217377456662,5.965919829321469
133.08958835684774,30.18733820154158,5.500486612514067
133.16268645608955,26.17373181555496,5.013115710078336
133.7971760360284,37.68634164896747,4.9639818457372265
134.08606545672785,33.085374474379705,4.81644837224797
134.74185995490603,40.20612229721672,6.281468579483304
135.76193841675487,49.66598982494736,5.558524866214651
142.32223109383273,-22.318278266241748,5.633603152353989
143.2853312587404,-27.323684894929197,6.37825935599588
144.9490990025553,-40.02221193091478,5.863037893310955
145.60166847510084,-23.870480246385274,5.9615170853999535
147.3275927621425,-16.205991299265957,4.8880184505654745
147.80786202064408,-20.309151684308,6.8786976408917235
149.18217037166394,-17.53670822433818,6.890325376975697
149.91397166924602,-7.416917958851019,6.413595221442938
